"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"March 31, 2018",Missouri,"Saint Louis","3000 block of Olive St",0,1,N/A
"March 31, 2018",Missouri,"Saint Louis","Vorhof Dr and Halls Ferry Rd",0,2,N/A
"March 31, 2018",Louisiana,Monroe,"Hope Street",0,1,N/A
"March 31, 2018",Virginia,"St Paul","3701 Russell Creek Rd",0,1,N/A
"March 31, 2018",Missouri,"Saint Louis","Parker Rd and San Ricardo Ct",0,1,N/A
"March 31, 2018",Missouri,"Saint Louis","3400 block of Pine Grove Ave",0,1,N/A
"March 31, 2018",Missouri,"Saint Louis","N Newstead Ave and Anderson Ave",0,1,N/A
"March 31, 2018",Alaska,Juneau,"400 block of Harris St",0,1,N/A
"March 31, 2018",Tennessee,Knoxville,"3300 block of Selma Avenue",0,1,N/A
"March 31, 2018",Georgia,"Chattooga (county)","GA 157",0,1,N/A
"March 31, 2018",Ohio,Cleveland,"E 103rd St and Aetna Rd",0,2,N/A
"March 31, 2018",Iowa,"Des Moines","5959 SE 14th St",0,1,N/A
"March 31, 2018",Virginia,Richmond,"Hull St and Shelby Dr",0,2,N/A
"March 31, 2018",Arkansas,"Little Rock","6420 Colonel Glenn Road",0,1,N/A
"March 31, 2018",Texas,Dallas,"1200 block of Whispering Trail",0,1,N/A
"March 31, 2018",Texas,"Wichita Falls","2300 block of 8th St",0,1,N/A
"March 31, 2018","New York","Spencerport (Ogden)","Stony Point Rd",0,1,N/A
"March 31, 2018","New York",Lindenhurst,"105 Sunrise Hwy",1,1,N/A
"March 31, 2018",Louisiana,Gretna,"1300 block of Cook Street",0,1,N/A
"March 31, 2018",California,"Santa Cruz","600 block of Riverside Ave",0,1,N/A
"March 31, 2018",Kansas,Wichita,"1400 block of N Vassar St",0,1,N/A
"March 31, 2018",Louisiana,Shreveport,"Narcissus Drive",0,1,N/A
"March 31, 2018",Minnesota,Minneapolis,"400 block of S McKnight Rd",0,2,N/A
"March 31, 2018",Georgia,Hephzibah,"Country Ln",0,1,N/A
"March 31, 2018",Virginia,Concord,"900 lock of Hummingbird Ln",0,1,N/A
"March 31, 2018","South Carolina",Loris,"Everette Rose Ln",0,1,N/A
"March 31, 2018",Illinois,Dekalb,"1300 block of N Annie Glidden Rd",1,0,N/A
"March 31, 2018",Michigan,Detroit,"Patton St and Pilgrim St",0,2,N/A
"March 31, 2018","New Jersey","Asbury Park","Atlantic Ave and Monmouth Ave",0,5,N/A
"March 31, 2018",Illinois,Chicago,"6600 block of S Drexel Ave",0,1,N/A
"March 31, 2018",Illinois,Chicago,"1 block of N Paulina St",0,1,N/A
"March 31, 2018",Michigan,Lansing,"S Martin Luther King Jr Blvd and Victor Ave",0,1,N/A
"March 31, 2018",Michigan,Detroit,I-96,0,1,N/A
"March 31, 2018",Tennessee,Memphis,"2900 block of Wingate",0,1,N/A
"March 31, 2018",Missouri,"Saint Clair","1100 Park Dr",0,1,N/A
"March 31, 2018",Missouri,Festus,"4200 block of Hillsboro Hematite Rd",0,1,N/A
"March 31, 2018",Minnesota,"Saint Paul","1000 block of York Ave",0,2,N/A
"March 31, 2018","North Carolina","Kings Mountain","US 74",0,4,N/A
"March 31, 2018",Texas,Pasadena,"920 Houston Ave",1,1,N/A
"March 31, 2018","North Carolina",Charlotte,"900 E Arrowood Rd",0,1,N/A
"March 31, 2018",Connecticut,Bridgeport,"Iranistan Ave and South Ave",0,1,N/A
"March 31, 2018",Texas,"San Antonio","9542 I-10",0,1,N/A
"March 31, 2018",Georgia,Thomasville,"Horrix St and Parnell St",0,1,N/A
"March 31, 2018",Florida,Bradenton,"3100 block of 15th St E",0,2,N/A
"March 31, 2018",Indiana,Indianapolis,"2085 Waterford Pl",0,2,N/A
"March 31, 2018",Illinois,Chicago,"9100 block of S Emerald Ave",0,1,N/A
"March 31, 2018",Texas,"San Antonio","100 block of Demya Dr",0,2,N/A
"March 31, 2018",Pennsylvania,York,"Clark Ave and State St",0,1,N/A
"March 31, 2018",Pennsylvania,Easton,"300 block of Palmer St",0,1,N/A
"March 31, 2018",Pennsylvania,Easton,"1503 Northampton St",0,1,N/A
"March 31, 2018",Alabama,Montgomery,"3900 block of Woodley Road",0,1,N/A
"March 31, 2018",Florida,Orlando,"South Kirkman Road and Raleigh Street",0,3,N/A
"March 31, 2018",Maryland,Crisfield,"26440 Silver Ln",1,1,N/A
"March 31, 2018","South Dakota",Aberdeen,"1600 Block of Melody Lane",0,2,N/A
"March 31, 2018",Kentucky,Louisville,"203 Breckinridge Square",0,1,N/A
"March 30, 2018",Missouri,"Kansas City","2000 block of E 30th St",1,0,N/A
"March 30, 2018","New York","Corona (Queens)","202nd St and 104th Ave",0,1,N/A
